Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Cuba,CUB,3.1509899612373,2.33916137912332,2.64140845309341,3.38612744264541,3.16944466192752,3.17660834784583,3.0493621413006,3.04521062360798,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Curacao,CUW,..,..,..,..,..,39.445663037189,33.8994032063034,37.7262890532298,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Chipre,CYP,5.70656288562432,7.34732626160041,7.38692403804473,6.92790356343255,6.60156823000707,6.09625641594908,5.1996632561002,5.26035204098901,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,República Checa,CZE,..,12.0768890449527,10.3083217859627,10.6525786177933,10.1854822482433,9.61198587926592,9.384891602576,9.16597837581982,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Dinamarca,DNK,9.77069869920651,9.61317555419716,8.05889560110771,8.40721667045503,7.29638320804399,6.51480084670286,6.86256503195408,5.9357124821143,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Djibouti,DJI,0.54657366725497,0.475248890722201,0.552127049376225,0.607471573619567,0.546278770857464,0.586763278993628,0.678855967739058,0.791961752491876,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Dominica,DMA,0.827228378873756,1.47362075894139,1.85334624942088,1.95053191489362,1.78957862740177,1.88327966242852,1.82337016574586,1.86428591057737,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,República Dominicana,DOM,1.28484027681204,2.3113012579558,2.07081010811283,2.123958664314,2.11709004452436,2.17854455216422,2.08543251745694,2.0699866344335,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Ecuador,ECU,1.64686955714135,1.64060597076666,2.45510427107246,2.44136175575121,2.54391117556386,2.47349501603991,2.61768904438367,2.76170217502084,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,"Egipto, República Árabe de",EGY,1.32277721735697,2.02166057648738,2.50693511001549,2.41019138031345,2.5281673247975,2.47192818505753,2.376329651912,2.19898024634231,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,El Salvador,SLV,0.478002406857947,0.978678941023167,1.04980108438988,1.04752291542098,1.0735900822923,1.07099751400282,0.996713368594016,1.00064462317564,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Guinea Ecuatorial,GNQ,0.154636566818009,0.740177398534647,5.08234968007207,4.91964285714286,6.16274628126603,4.92537981673283,4.76415691499669,4.7338165294876,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Eritrea,ERI,..,0.179415768858828,0.119104459190401,0.116920680325405,0.132758693898348,..,..,..,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Estonia,EST,..,10.6362516419289,10.9143201837372,13.5996890666366,14.0167329722872,13.3240003749917,15.0937179674916,14.848819173174,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Eswatini,SWZ,0.493830198996254,1.11930646990771,0.885167383064772,0.862756818637179,0.855951970931836,0.966578750446658,0.856576240153021,0.92871499200446,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Etiopía,ETH,0.0627606499917773,0.0533483376422177,0.0776191388306392,0.0750938597422405,0.0858039683295198,0.0926228641124991,0.112072453123652,0.119124014522654,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Islas Feroe,FRO,14.9472202378451,14.587921621736,11.8663355112641,12.9912255406797,11.6932397959184,12.13140590967,13.9166512811045,12.2378485729495,..,..,..,..
